Objects,True Labels,Predicted Labels
J103807.05-011749.9.png,Artifact,Artifact
J094645.26+114709.5.png,Artifact,Artifact
J083840.34+195125.1.png,Artifact,Artifact
J081341.64+105751.0.png,Artifact,Artifact
J082348.82+313128.3.png,Artifact,Artifact
J085242.87+172055.7.png,Artifact,Artifact
J093344.10+094239.0.png,Artifact,Artifact
J093330.20+271941.5.png,Artifact,Artifact
J081649.96+060820.4.png,Artifact,Artifact
J081340.34+165137.9.png,Artifact,Artifact
J102444.82+084949.8.png,Artifact,Artifact
J102825.27+154757.2.png,Artifact,Artifact
J081712.61+270446.2.png,Artifact,Artifact
J103400.48+000046.8.png,Artifact,Artifact
J081559.93+121200.8.png,Artifact,Artifact
J090422.59+300441.9.png,Artifact,Artifact
J041159.63-063534.4.png,Artifact,Artifact
J022542.24-004925.8.png,Artifact,Artifact
J083131.46+152440.7.png,Artifact,Artifact
J083113.77+240333.2.png,Artifact,Artifact
J102212.46-015820.3.png,Artifact,Artifact
J080925.48+211425.8.png,Artifact,Artifact
J102012.42+175238.3.png,Artifact,Artifact
J082224.80+050008.0.png,Artifact,Artifact
J100911.15+182743.0.png,Artifact,Artifact
J023844.15+032339.8.png,Artifact,Artifact
J104535.70-021211.0.png,Artifact,Artifact
J102522.25+173232.6.png,Artifact,Artifact
J092315.82+215658.0.png,Artifact,Artifact
J092315.82+215658.0.png,Merging-Merger,Artifact
J100418.89-020236.9.png,Artifact,Artifact
J085606.74+114327.5.png,Artifact,Artifact
J023406.12-000028.9.png,Artifact,Artifact
J090737.68+062038.7.png,Artifact,Artifact
J080558.54+172408.9.png,Artifact,Artifact
J102723.86+110952.0.png,Artifact,Artifact
J110530.66+311446.4.png,Artifact,Artifact
J084231.95+081542.7.png,Artifact,Artifact
J093056.53+115050.6.png,Artifact,Artifact
J091122.80+124755.0.png,Artifact,Artifact
J085520.27+054550.3.png,Artifact,Artifact
J093107.22+304409.3.png,Cigar-Shaped,Cigar-Shaped
J022420.85-085517.8.png,Cigar-Shaped,Cigar-Shaped
J101022.36+002124.0.png,Cigar-Shaped,Cigar-Shaped
J095305.69-031309.0.png,Cigar-Shaped,Cigar-Shaped
J023303.81+010453.4.png,Cigar-Shaped,Cigar-Shaped
J081802.72+312428.9.png,Cigar-Shaped,Cigar-Shaped
J104202.29+033251.1.png,Cigar-Shaped,Cigar-Shaped
J014807.85-091411.0.png,Cigar-Shaped,Cigar-Shaped
J101506.76-004456.8.png,Cigar-Shaped,Cigar-Shaped
J085805.65+140958.2.png,Cigar-Shaped,Cigar-Shaped
J104241.34+102257.2.png,Cigar-Shaped,Cigar-Shaped
J103447.68+001806.6.png,Cigar-Shaped,Cigar-Shaped
J101828.40-000414.2.png,Cigar-Shaped,Cigar-Shaped
J024657.97+010022.2.png,Cigar-Shaped,Cigar-Shaped
J101007.69+020847.9.png,Cigar-Shaped,Cigar-Shaped
J085407.39+030845.2.png,Cigar-Shaped,Cigar-Shaped
J103541.64+315732.7.png,Cigar-Shaped,Cigar-Shaped
J101525.51+032140.6.png,Cigar-Shaped,Cigar-Shaped
J103623.35+105427.8.png,Cigar-Shaped,Cigar-Shaped
J075300.06+125702.8.png,Cigar-Shaped,Cigar-Shaped
J093741.43+042551.3.png,Cigar-Shaped,Cigar-Shaped
J101322.40-005218.5.png,Cigar-Shaped,Cigar-Shaped
J031808.74-002150.6.png,Cigar-Shaped,Cigar-Shaped
J080021.24+270909.8.png,Cigar-Shaped,Cigar-Shaped
J092131.41+154450.5.png,Cigar-Shaped,Cigar-Shaped
J084839.60+071709.1.png,Cigar-Shaped,Cigar-Shaped
J023923.21+010941.0.png,Cigar-Shaped,Cigar-Shaped
J102046.88-015628.7.png,Cigar-Shaped,Cigar-Shaped
J100907.28-000157.9.png,Cigar-Shaped,Cigar-Shaped
J103717.83+144657.2.png,Cigar-Shaped,Cigar-Shaped
J085509.71+144144.3.png,Cigar-Shaped,Cigar-Shaped
J103929.70-012347.0.png,Cigar-Shaped,Cigar-Shaped
J102203.75+003758.2.png,Cigar-Shaped,Cigar-Shaped
J094556.88+090856.8.png,Cigar-Shaped,Cigar-Shaped
J092309.84+330125.3.png,Cigar-Shaped,Cigar-Shaped
J094049.69+113310.0.png,Cigar-Shaped,Cigar-Shaped
J085154.61+092202.4.png,Cigar-Shaped,Cigar-Shaped
J084754.02+202247.8.png,Cigar-Shaped,Cigar-Shaped
J093729.44+231300.8.png,Cigar-Shaped,Cigar-Shaped
J023112.51-003854.9.png,Cigar-Shaped,Cigar-Shaped
J113052.62+203022.7.png,Merging-Merger,Merging-Merger
J105444.18+232138.2.png,Merging-Merger,Merging-Merger
J101934.81+183852.5.png,Merging-Merger,Merging-Merger
J120206.99+041205.0.png,Merging-Merger,Merging-Merger
J102127.50+015258.9.png,Merging-Merger,Spiral-Arms-Yes
J104430.04+301548.8.png,Merging-Merger,Merging-Merger
J110301.26+120543.0.png,Merging-Merger,Merging-Merger
J115226.23-000635.8.png,Merging-Merger,Merging-Merger
J113618.73+153628.6.png,Merging-Merger,Merging-Merger
J094630.05+300148.3.png,Merging-Merger,Merging-Merger
J022842.25-005047.3.png,Merging-Merger,Merging-Merger
J112858.00-032537.9.png,Merging-Merger,Merging-Merger
J102054.01+331330.6.png,Merging-Merger,Merging-Merger
J115447.31+170441.1.png,Merging-Merger,Merging-Merger
J103532.68+254213.6.png,Merging-Merger,Spiral-Arms-Yes
J103126.70+242029.4.png,Merging-Merger,Merging-Merger
J102751.23+241048.2.png,Merging-Merger,Merging-Merger
J111752.79+280554.4.png,Merging-Merger,Merging-Merger
J081547.44+173444.4.png,Merging-Merger,Merging-Merger
J092000.70+011604.7.png,Merging-Merger,Merging-Merger
J085825.85+201729.0.png,Merging-Merger,Merging-Merger
J085704.18+090443.5.png,Merging-Merger,Merging-Merger
J100045.59+302114.1.png,Merging-Merger,Merging-Merger
J101532.79+070446.5.png,Merging-Merger,Merging-Merger
J085838.95+112654.3.png,Merging-Merger,Merging-Merger
J100836.01+002628.3.png,Merging-Merger,Merging-Merger
J104155.21+183642.5.png,Merging-Merger,Merging-Merger
J110940.01+232610.1.png,Merging-Merger,Merging-Merger
J100639.70+150820.4.png,Merging-Merger,Merging-Merger
J113701.22+213206.7.png,Merging-Merger,Spiral-Arms-Yes
J101553.01+023718.8.png,Merging-Merger,Merging-Merger
J100726.44+065502.7.png,Merging-Merger,Merging-Merger
J100145.29+150336.0.png,Merging-Merger,Cigar-Shaped
J104554.77+010405.7.png,Merging-Merger,Merging-Merger
J111653.38+235048.0.png,Merging-Merger,Merging-Merger
J095106.29+332610.6.png,Merging-Merger,Merging-Merger
J015959.79+012628.1.png,Merging-Merger,Merging-Merger
J104510.21+002750.9.png,Merging-Merger,Merging-Merger
J103405.28+240123.4.png,Merging-Merger,Merging-Merger
J100103.50+010707.1.png,Merging-Merger,Merging-Merger
J113231.42-020834.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J113234.61-045402.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J113656.23-042522.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J101352.04-002225.0.png,Spiral-Arms-Yes,Cigar-Shaped
J113926.83+032816.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J120841.09+114956.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J100849.29-013838.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J114101.05+055410.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J101456.00+061149.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J111523.82+184526.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J113359.30+171211.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J093745.38+223539.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J110411.88+181456.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J111353.02+125137.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J110306.40+130838.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J084858.76+131902.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J101226.27+054319.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J102918.96+181326.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J092919.18+160608.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J113132.08-021833.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J092056.12+300759.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J090416.22+252814.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J094153.41+194925.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J103500.82+304557.1.png,Spiral-Arms-Yes,Merging-Merger
J114004.11+104518.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J121508.99+045558.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J110937.89-010549.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J112742.42+184004.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J091536.19+053449.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J102453.84+103931.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J120954.61+062812.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J085323.11+092208.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J112813.95-072759.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J114044.65+123302.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J090400.04-001959.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J093145.58+280222.6.png,Spiral-Arms-Yes,Merging-Merger
J094816.09+070647.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J113948.64+202937.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J103040.15+015730.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J095722.79+005552.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
