Objects,True Labels,Predicted Labels
J153606.32+111108.3.png,Artifact,Artifact
J142606.47+203502.2.png,Artifact,Artifact
J141357.25+130030.9.png,Artifact,Artifact
J132859.68-021026.5.png,Artifact,Artifact
J150855.71+051209.3.png,Artifact,Artifact
J141339.55+191724.2.png,Artifact,Artifact
J145713.81+161935.8.png,Artifact,Artifact
J152647.59+284138.6.png,Artifact,Artifact
J123705.71+170102.7.png,Artifact,Artifact
J132338.40-005908.5.png,Artifact,Artifact
J135705.91+142110.3.png,Artifact,Artifact
J134929.45+073240.4.png,Artifact,Artifact
J144548.54+130319.2.png,Artifact,Artifact
J140221.60-021411.0.png,Artifact,Artifact
J140944.44+255414.0.png,Artifact,Artifact
J143833.54-012925.9.png,Artifact,Artifact
J153145.46+140805.8.png,Artifact,Artifact
J132049.30+020602.0.png,Artifact,Artifact
J150230.09+230759.9.png,Artifact,Artifact
J134515.75+151842.2.png,Artifact,Artifact
J152759.39+291139.0.png,Artifact,Artifact
J152601.12+212626.8.png,Artifact,Artifact
J152236.07+280408.0.png,Artifact,Artifact
J135244.10+004809.7.png,Artifact,Artifact
J140005.59-032616.0.png,Artifact,Artifact
J145007.01+140252.4.png,Artifact,Artifact
J152831.41+180251.7.png,Artifact,Artifact
J140220.89+054343.9.png,Artifact,Artifact
J125529.32+031640.4.png,Artifact,Artifact
J152037.79-022329.6.png,Artifact,Artifact
J154715.63+141208.3.png,Artifact,Artifact
J135402.26+145430.2.png,Artifact,Artifact
J135502.97+105652.2.png,Artifact,Artifact
J140630.52+221027.5.png,Artifact,Artifact
J151923.66-010805.6.png,Artifact,Artifact
J145316.65+120557.6.png,Artifact,Artifact
J135046.78+251431.0.png,Artifact,Artifact
J142021.63+302617.5.png,Artifact,Artifact
J140201.43+060139.3.png,Artifact,Artifact
J125732.31+240052.8.png,Artifact,Cigar-Shaped
J125731.27+104530.0.png,Cigar-Shaped,Cigar-Shaped
J135346.85+245741.5.png,Cigar-Shaped,Cigar-Shaped
J233244.54-024359.6.png,Cigar-Shaped,Cigar-Shaped
J152555.65+195327.2.png,Cigar-Shaped,Cigar-Shaped
J143154.60+045508.4.png,Cigar-Shaped,Cigar-Shaped
J160301.81+290732.6.png,Cigar-Shaped,Cigar-Shaped
J144516.27+203017.8.png,Cigar-Shaped,Cigar-Shaped
