Objects,Labels
J093344.10+094239.0.png,Artifact
J103237.01+140947.7.png,Artifact
J154226.69-013910.3.png,Artifact
J085606.74+114327.5.png,Artifact
J132049.30+020602.0.png,Artifact
J082224.80+050008.0.png,Artifact
J153606.32+111108.3.png,Artifact
J124631.19+142844.8.png,Artifact
J160116.49+174603.9.png,Artifact
J084231.95+081542.7.png,Artifact
J152759.39+291139.0.png,Artifact
J144208.30+090233.2.png,Artifact
J093056.53+115050.6.png,Artifact
J124453.41+074829.8.png,Artifact
J144114.72+032645.6.png,Artifact
J083131.46+152440.7.png,Artifact
J124649.40+024248.0.png,Artifact
J110530.66+311446.4.png,Artifact
J120816.85+033813.4.png,Artifact
J114712.02-030507.2.png,Artifact
J085520.27+054550.3.png,Artifact
J140005.59-032616.0.png,Artifact
J084638.42+085410.2.png,Artifact
J214450.28+021956.1.png,Artifact
J094645.26+114709.5.png,Artifact
J141444.20+185121.2.png,Artifact
J110855.66+134127.6.png,Artifact
J152831.41+180251.7.png,Artifact
J103400.48+000046.8.png,Artifact
J124909.10+140319.6.png,Artifact
J114320.71+001320.0.png,Artifact
J102012.42+175238.3.png,Artifact
J122201.92+045053.6.png,Artifact
J102825.27+154757.2.png,Artifact
J124724.10+181437.4.png,Artifact
J140944.44+255414.0.png,Artifact
J102212.46-015820.3.png,Artifact
J142606.47+203502.2.png,Artifact
J082348.82+313128.3.png,Artifact
J161531.36+272657.3.png,Artifact
J103521.78+043628.8.png,Cigar-Shaped
J122704.56-002421.3.png,Cigar-Shaped
J120836.28+220653.5.png,Cigar-Shaped
J112030.40-032256.0.png,Cigar-Shaped
J133515.14+095521.7.png,Cigar-Shaped
J100116.54-010910.1.png,Cigar-Shaped
J094817.81+083708.9.png,Cigar-Shaped
J113416.59+061816.7.png,Cigar-Shaped
J150900.71+203200.4.png,Cigar-Shaped
J141018.38+051916.3.png,Cigar-Shaped
J123310.45+075003.2.png,Cigar-Shaped
J150434.52+282817.7.png,Cigar-Shaped
J104331.17+313005.4.png,Cigar-Shaped
J124958.64+111038.9.png,Cigar-Shaped
J113343.32+042758.0.png,Cigar-Shaped
J134147.36+042726.1.png,Cigar-Shaped
J123512.74+200330.5.png,Cigar-Shaped
J142209.67+052921.2.png,Cigar-Shaped
J105759.04+293137.4.png,Cigar-Shaped
J133839.36+065241.4.png,Cigar-Shaped
J122841.95+095034.6.png,Cigar-Shaped
J094926.59+055543.8.png,Cigar-Shaped
J102819.99+032313.0.png,Cigar-Shaped
J130107.53-031657.5.png,Cigar-Shaped
J144701.49-031323.0.png,Cigar-Shaped
J131759.91+073306.7.png,Cigar-Shaped
J123304.85+142744.1.png,Cigar-Shaped
J145907.65+083731.0.png,Cigar-Shaped
J124042.55-041023.4.png,Cigar-Shaped
J104633.14+152436.9.png,Cigar-Shaped
J152721.61+033522.0.png,Cigar-Shaped
J113037.98-053551.9.png,Cigar-Shaped
J123826.95+121255.5.png,Cigar-Shaped
J150459.20+284633.5.png,Cigar-Shaped
J120014.34+154905.9.png,Cigar-Shaped
J134550.96+122725.4.png,Cigar-Shaped
J135935.71+250105.6.png,Cigar-Shaped
J101714.91+293324.9.png,Cigar-Shaped
J112706.99+281429.7.png,Cigar-Shaped
J142530.33+015838.4.png,Cigar-Shaped
J114849.75+070749.3.png,Merging-Merger
J101532.79+070446.5.png,Merging-Merger
J151252.03+073032.4.png,Merging-Merger
J101934.81+183852.5.png,Merging-Merger
J140606.76+242052.9.png,Merging-Merger
J112540.10+202247.1.png,Merging-Merger
J144156.05+240107.9.png,Merging-Merger
J131510.13+220906.7.png,Merging-Merger
J151947.89+274621.6.png,Merging-Merger
J153020.86+321023.5.png,Merging-Merger
J130536.29+113518.5.png,Merging-Merger
J103532.68+254213.6.png,Merging-Merger
J123548.55-005849.8.png,Merging-Merger
J151911.05+205702.3.png,Merging-Merger
J124105.53+232210.3.png,Merging-Merger
J100726.44+065502.7.png,Merging-Merger
J104554.77+010405.7.png,Merging-Merger
J103342.71+210740.7.png,Merging-Merger
J143938.95+203018.7.png,Merging-Merger
J135903.04+212831.4.png,Merging-Merger
J150715.36-024437.9.png,Merging-Merger
J111653.38+235048.0.png,Merging-Merger
J215314.52-021315.0.png,Merging-Merger
J101039.16+190411.0.png,Merging-Merger
J131947.39+055519.9.png,Merging-Merger
J110955.59+241535.0.png,Merging-Merger
J112113.82-082235.3.png,Merging-Merger
J133407.08+105143.9.png,Merging-Merger
J102054.01+331330.6.png,Merging-Merger
J115347.70-010002.2.png,Merging-Merger
J142433.85+293418.1.png,Merging-Merger
J131312.98+035246.0.png,Merging-Merger
J151653.41+083258.9.png,Merging-Merger
J100145.29+150336.0.png,Merging-Merger
J135653.25+245802.7.png,Merging-Merger
J103547.80+003506.3.png,Merging-Merger
J110301.26+120543.0.png,Merging-Merger
J160144.67+312512.4.png,Merging-Merger
J143404.09-021618.9.png,Merging-Merger
J141222.91-000947.2.png,Merging-Merger
J095405.93+003901.9.png,Spiral-Arms-Yes
J144731.31+105842.2.png,Spiral-Arms-Yes
J114435.05+191556.6.png,Spiral-Arms-Yes
J101039.99+065621.6.png,Spiral-Arms-Yes
J233032.66-000813.8.png,Spiral-Arms-Yes
J102108.17-005119.1.png,Spiral-Arms-Yes
J101016.28+154021.0.png,Spiral-Arms-Yes
J135441.81+092707.0.png,Spiral-Arms-Yes
J083034.62+150611.9.png,Spiral-Arms-Yes
J134316.19+163621.4.png,Spiral-Arms-Yes
J144242.16+244549.6.png,Spiral-Arms-Yes
J134755.23+033436.6.png,Spiral-Arms-Yes
J092253.82+291944.4.png,Spiral-Arms-Yes
J110313.26+073915.1.png,Spiral-Arms-Yes
J142949.76+343605.5.png,Spiral-Arms-Yes
J111901.07+195912.6.png,Spiral-Arms-Yes
J113130.23+060358.0.png,Spiral-Arms-Yes
J134657.18+020652.1.png,Spiral-Arms-Yes
J120623.24+053759.4.png,Spiral-Arms-Yes
J141715.95+080148.7.png,Spiral-Arms-Yes
J102738.95+294351.1.png,Spiral-Arms-Yes
J152305.12+184714.0.png,Spiral-Arms-Yes
J121325.63-000844.3.png,Spiral-Arms-Yes
J151836.83+281907.6.png,Spiral-Arms-Yes
J115405.25-032459.3.png,Spiral-Arms-Yes
J125712.97+082101.6.png,Spiral-Arms-Yes
J125657.67+074843.9.png,Spiral-Arms-Yes
J110840.67+083832.5.png,Spiral-Arms-Yes
J102511.65+031134.3.png,Spiral-Arms-Yes
J095334.02+082929.9.png,Spiral-Arms-Yes
J114915.19+053714.5.png,Spiral-Arms-Yes
J090126.66+032450.5.png,Spiral-Arms-Yes
J090111.34+052521.7.png,Spiral-Arms-Yes
J131948.89+012935.1.png,Spiral-Arms-Yes
J091412.78+031556.4.png,Spiral-Arms-Yes
J140002.08+030716.4.png,Spiral-Arms-Yes
J113731.00+312139.0.png,Spiral-Arms-Yes
J120239.91+160431.2.png,Spiral-Arms-Yes
J152732.08+080222.1.png,Spiral-Arms-Yes
J122127.94+151250.8.png,Spiral-Arms-Yes
