Objects,Labels,Targets
J004606.82+153019.1.png,Artifact,0
J003841.07+003647.7.png,Artifact,0
J003711.06-004912.6.png,Artifact,0
J004801.92-001230.1.png,Artifact,0
J002147.52+000031.0.png,Artifact,0
J081649.96+060820.4.png,Artifact,0
J001406.79-003850.9.png,Artifact,0
J003329.47-003227.5.png,Artifact,0
J022542.24-004925.8.png,Artifact,0
J080330.87+113149.1.png,Artifact,0
J093206.59+024838.4.png,Cigar-Shaped,1
J082139.98+120253.4.png,Cigar-Shaped,1
J081325.63+262734.2.png,Cigar-Shaped,1
J093119.19+052621.9.png,Cigar-Shaped,1
J093438.32+271314.7.png,Cigar-Shaped,1
J005544.76-000417.4.png,Cigar-Shaped,1
J094413.72+144654.8.png,Cigar-Shaped,1
J000225.82+010015.1.png,Cigar-Shaped,1
J085249.96+303926.6.png,Cigar-Shaped,1
J011054.77-002722.0.png,Cigar-Shaped,1
J032014.29-145011.0.png,Merging-Merger,2
J002619.79-014607.3.png,Merging-Merger,2
J013652.63-092210.4.png,Merging-Merger,2
J095106.29+332610.6.png,Merging-Merger,2
J001913.99+040811.0.png,Merging-Merger,2
J022302.26-000837.1.png,Merging-Merger,2
J083229.92+073549.1.png,Merging-Merger,2
J015959.79+012628.1.png,Merging-Merger,2
J000951.90+044030.0.png,Merging-Merger,2
J090542.95+023600.1.png,Merging-Merger,2
J004600.34-011012.5.png,Spiral-Arms-Yes,3
J011440.01+002807.4.png,Spiral-Arms-Yes,3
J013833.66-004358.2.png,Spiral-Arms-Yes,3
J005735.10-050009.0.png,Spiral-Arms-Yes,3
J021941.89-030707.9.png,Spiral-Arms-Yes,3
J010438.72-002651.7.png,Spiral-Arms-Yes,3
J001331.79-010849.5.png,Spiral-Arms-Yes,3
J005240.20-021827.7.png,Spiral-Arms-Yes,3
J003255.08+151522.4.png,Spiral-Arms-Yes,3
J004234.00-060929.0.png,Spiral-Arms-Yes,3
