,task_1,task_1,task_2,task_2,task_3,task_3,task_4,task_4,task_5,task_5,task_6,task_6,task_7,task_7,task_8,task_8,task_9,task_9,task_10,task_10
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],['Central Bulge (Dominant)'],['Central Bulge (Moderate)']
3,,,,,,,,,,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
11,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,['Merging (Minor Disturbance)'],['Merging (None)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)'],
12,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,['Weak Bar'],['No Bar'],['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,
15,['Artifact'],['Smooth'],,['In Between'],,,,['Merging (None)'],,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
19,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
38,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Small)']
46,,,['In Between'],['Round'],,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,['No Bar'],['Weak Bar'],['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,['Spiral Arms (4)'],['Spiral Arms (2)'],,
55,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)']
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
